Organisation,Country,maxRating,avgRating,numUsers
232 fanclub,South Korea,2180,1918.0,2
The most ******* organization in cf,Russia,2268,2217.0,2
National Tainan First Senior High School,Taiwan,2373,1989.5,2
Eliška fan club,Moldova,2241,2241.0,1
Linyi Fan Club,China,2194,1918.6666666666667,6
the Communist Party of China,United States,2406,2406.0,1
DGIST,South Korea,2279,2279.0,1
Ciyun Netbar,China,2177,2177.0,1
Anyang Middle School,China,2176,2176.0,1
Northeastern University at Qinhuangdao,China,2368,1894.75,4
National University of Fiji,Fiji,2176,2176.0,1
MK-37,Russia,2174,1815.5,2
IIIT Hyderabad,India,2370,1703.906976744186,43
Salty_Fish_Work_Group,China,2173,2173.0,1
China,China,2173,2121.0,2
Bakry Fan Club,Egypt,2216,2003.2,5
SQRT Academy,Mongolia,2389,2389.0,1
The Experimental High School Attached to BNU,China,2180,1988.5,6
けいおん部 (Light music club),Russia,2342,2342.0,1
FuZhou university,China,2171,1801.857142857143,7
shanhugongxinhai's fans' club,China,2171,2171.0,1
CAS Software,Germany,2381,2381.0,1
VSTU,Russia,2277,1883.5,2
UzhNu,Ukraine,2283,2138.0,3
2101,Russia,2382,2382.0,1
Astana IT university,Kazakhstan,2169,2169.0,1
Oleg Naver fan club,Ukraine,2252,2048.6666666666665,3
Shidai Middle School,China,2168,2168.0,1
liis,Romania,2324,1808.6666666666667,3
dongdziz Fan Club,China,2168,2168.0,1
NEWSIS,Singapore,2528,2528.0,1
University of Stellenbosch,South Africa,2166,1852.0,2
Aleppo University,Syria,2200,1637.0,11
Australian National University,Australia,2173,2173.0,1
Xiamen No.1 Middle School,China,2164,2061.0,2
vgzowski fan club,United States,2248,2248.0,1
Pune Institute of Computer Technology,India,2213,1573.3684210526317,19
NIT Silchar,India,2171,1599.35,20
bmstu attack,Russia,2162,2121.5,2
Henan University of Technology,China,2162,1792.6,5
Green White Solutions,Uzbekistan,2161,1803.5,2
Liangxiang Institute of Technology,China,2199,2199.0,1
School 2086,Russia,2161,2161.0,1
Allame Helli 2,Iran,2391,2192.0,2
IIIT Lucknow,India,2190,1631.1875,16
Wilson's School,United Kingdom,2290,2290.0,1
ETH Zurich,Switzerland,2528,2033.2,5
German University in Cairo,Egypt,2293,1831.888888888889,9
Mount Celeste,Turkey,2281,2281.0,1
