name,type,value,date
Golovanov399,Russia,1808,2014/03/16
jiangly,China,0,2014/03/16
Benq,United States,0,2014/03/16
orzdevinwang,China,0,2014/03/16
cnnfls_csy,China,0,2014/03/16
Radewoosh,Poland,0,2014/03/16
gyh20,China,0,2014/03/16
Rebelz,China,0,2014/03/16
Geothermal,United States,0,2014/03/16
gamegame,Hong Kong,0,2014/03/16
fivedemands,Hong Kong,0,2014/03/16
maroonrk,Japan,0,2014/03/16
ugly2333,China,0,2014/03/16
Ormlis,Russia,0,2014/03/16
maspy,Japan,0,2014/03/16
VivaciousAubergine,China,0,2014/03/16
potato167,Japan,0,2014/03/16
ko_osaga,South Korea,0,2014/03/16
QuietBeautifulThoughts,China,0,2014/03/16
p_b_p_b,China,0,2014/03/16
PubabaOnO,China,0,2014/03/16
MyBotDear,Unknown,0,2014/03/16
Elegia,China,0,2014/03/16
QAQAutoMaton,China,0,2014/03/16
Isonan,China,0,2014/03/16
noimi,Japan,0,2014/03/16
244mhq,Belarus,0,2014/03/16
skip2004,China,0,2014/03/16
A_G,United States,0,2014/03/16
353cerega,Unknown,0,2014/03/16
Qingyu,Unknown,0,2014/03/16
conqueror_of_tourist,United States,0,2014/03/16
FastFreeTask,Unknown,0,2014/03/16
MagicalFlower,China,0,2014/03/16
Kevin114514,China,0,2014/03/16
MagicSpark,Antarctica,0,2014/03/16
HaitangSuki,China,0,2014/03/16
hitonanode,Japan,0,2014/03/16
huzhaoyang,Unknown,0,2014/03/16
duality,Canada,0,2014/03/16
TLE,China,0,2014/03/16
Maksim1744,Russia,0,2014/03/16
aaaaawa,China,0,2014/03/16
sjcsjcsjc,China,0,2014/03/16
turmax,Russia,0,2014/03/16
Kubic,China,0,2014/03/16
cmll02,China,0,2014/03/16
Pub,China,0,2014/03/16
gisp_zjz,China,0,2014/03/16
Alex_Wei,China,0,2014/03/16
dorijanlendvaj,Croatia,0,2014/03/16
Crystally,Unknown,0,2014/03/16
isaf27,Russia,0,2014/03/16
AmazingTalker_Frank,Germany,0,2014/03/16
tute7627,Japan,0,2014/03/16
BigYellowDuck,China,0,2014/03/16
TLEwpdus,South Korea,0,2014/03/16
heno239,Japan,0,2014/03/16
arvindf232,Hong Kong,0,2014/03/16
Chtholly-Nota-Seniorious,Unknown,0,2014/03/16
AlternatingCurrent,Antarctica,0,2014/03/16
YamadaRyo,Japan,0,2014/03/16
antontrygubO_o,Ukraine,0,2014/03/16
PinkieRabbit,China,0,2014/03/16
dXqwq,China,0,2014/03/16
SSRS_,Japan,0,2014/03/16
peti1234,Hungary,0,2014/03/16
qiuzx,Antarctica,0,2014/03/16
tzc_wk,China,0,2014/03/16
ttklwxx,China,0,2014/03/16
StarSilk,Unknown,0,2014/03/16
A.K.E.E.,China,0,2014/03/16
never_giveup,Russia,0,2014/03/16
kotatsugame,Japan,0,2014/03/16
fengqiyuka,China,0,2014/03/16
hank55663,Taiwan,0,2014/03/16
PCTprobability,Japan,0,2014/03/16
Flamire,Unknown,0,2014/03/16
alireza_kaviani,Iran,0,2014/03/16
Forested,Japan,0,2014/03/16
Szoboszlai10,Hungary,0,2014/03/16
Melusine,China,0,2014/03/16
E869120,Japan,0,2014/03/16
crazy_sea,China,0,2014/03/16
Kuroni,Vietnam,0,2014/03/16
-Eternity-,Unknown,0,2014/03/16
The_Noble_Brahman_Bison,China,0,2014/03/16
Kapt,Russia,0,2014/03/16
tourist,Belarus,3186,2014/04/06
Petr,Switzerland,2717,2014/04/06
Egor,Germany,2614,2014/04/06
hos.lyric,Japan,2538,2014/04/06
snuke,Japan,2341,2014/04/06
ecnerwala,United States,2310,2014/04/06
Um_nik,Ukraine,2307,2014/04/06
Swistakk,Poland,2271,2014/04/06
molamola.,South Korea,2259,2014/04/06
jqdai0815,Samoa,2242,2014/04/06
yosupo,Japan,2066,2014/04/06
ksun48,Canada,2014,2014/04/06
Golovanov399,Russia,2006,2014/04/06
jiangly,China,0,2014/04/06
Benq,United States,0,2014/04/06
orzdevinwang,China,0,2014/04/06
